기기명,주소,위도,경도,평일시간,휴일시간
원광신협 금호지점,광주광역시 서구 운천로 26-1(금호동)[광주광역시 서구 금호동 765번지 18호 원광신협 금호지점],35.13501038,126.8594553,07:00-03:00,07:00-03:00
서구청,광주광역시 서구 경열로 33(농성동),35.15202903,126.8901122,05:00-03:00,05:00-03:00
광주광역시청,광주광역시 서구 내방로 111(치평동)[광주광역시 서구 치평동 1200번지],35.16009941,126.8514619,05:00-03:00,05:00-03:00
광주기아자동차,광주광역시 서구 화운로 211(내방동),35.15812209,126.8756205,07:00-21:00,07:00-21:00
화정3동 행정복지센터,광주광역시 서구 월드컵4강로68번길 21(화정동),35.14345169,126.876911,09:00-18:00,00:00-00:00
농성1동 행정복지센터,광주광역시 서구 상무대로1189번길 23(농성동),35.15666231,126.889746,05:00-03:00,05:00-03:00
양3동 행정복지센터,광주광역시 서구 상무대로1223번길 16(양동),35.15752285,126.8940007,09:00-18:00,00:00-00:00
양동 행정복지센터,광주광역시 서구 천변좌로222번길 3-2(양동),35.15489274,126.9008763,09:00-18:00,00:00-00:00
나라키움광주통합청사,광주광역시 서구 천변우하로 391(동천동),35.16939406,126.8631106,08:00-18:00,00:00-00:00
동천동 행정복지센터,광주광역시 서구 유림로98번길 8(동천동)[광주광역시 서구 동천동 611번지],35.17086744,126.8647352,05:00-03:00,05:00-03:00
코코식자재마트 버들점,광주광역시 서구 상무버들로40번길 1(유촌동),35.16474943,126.8587706,07:00-23:00,07:00-23:00
등기국,광주광역시 서구 시청로 106(치평동)[1205번지],35.15856063,126.8523612,09:00-18:00,00:00-00:00
신세계백화점,광주광역시 서구 무진대로 932(광천동)[광주광역시 서구 광천동 49번지 1호],35.15967717,126.8826309,11:00-20:00,11:00-20:00
365민원봉사실,광주광역시 서구 시청로 40(치평동)[1239번지],35.15236836,126.8524222,05:00-03:00,05:00-03:00
지원1동행정복지센터,광주광역시 동구 지원로 31-9(소태동),35.1253006,126.9351767,09:00-18:00,09:00-17:00
서남동 행정복지센터,광주광역시 동구 서남로 14,35.14495096,126.923163,09:00-18:00,00:00-00:00
지산2동행정복지센터,광주광역시 동구 지호로 51(지산동),35.14797636,126.9344925,05:00-03:00,05:00-03:00
산수1동행정복지센터,광주광역시 동구 무등로449번길 12(산수동),35.15729145,126.9307349,09:00-18:00,00:00-00:00
학동 행정복지센터,광주광역시 동구 천변우로539(학동),35.1355886,126.9225955,09:00-18:00,00:00-00:00
산수2동행정복지센터,광주광역시 동구 필문대로191번길 43-24,35.15457421,126.9361378,09:00-18:00,00:00-00:00
계림2동행정복지센터,광주광역시 동구 계림로30번길 15,35.15706311,126.9253721,09:00-18:00,00:00-00:00
동명동행정복지센터,광주광역시 동구 동명로26번길 13(동명동),35.15118061,126.9251616,09:00-18:00,00:00-00:00
충장동 행정복지센터,광주광역시 동구 충장로58번길 16(충장동),35.14918449,126.9128041,05:00-03:00,05:00-03:00
지산1동 행정복지센터,광주광역시 동구 지산로 57 (지산동),35.14900645,126.9327183,09:00-18:00,00:00-00:00
동광주새마을금고산수지점,광주광역시 동구 경양로 321 (산수동),35.15400494,126.9244451,07:00~23:50,07:00~23:50
계림1동 행정복지센터,광주광역시 동구 경양로247번길 26 (계림동),35.15853136,126.9196354,09:00-18:00,00:00-00:00
학운동 행정복지센터,광주광역시 동구 의재로 53 (학동),35.13247214,126.9335456,09:00-18:00,00:00-00:00
광주세무서,광주광역시 동구 중앙로 154(호남동),35.14750435,126.9129211,08:30-18:00,00:00-00:00
광주은행 본점,광주광역시 동구 제봉로 225(대인동)[광주광역시 동구 대인동 7번지 12호],35.15482697,126.9128814,08:00-22:00,08:00-22:00
조선대학교병원,광주광역시 동구 필문대로 365(학동)[광주광역시 동구 학동 30번지 1호],35.1385486,126.9281861,07:00-20:00,07:00-20:00
동구청민원실,광주광역시 동구 서남로 1(서석동)[광주광역시 동구 서석동 31번지],35.1461417,126.9230932,05:00-03:00,05:00-03:00
광주지방법원,광주광역시 동구 준법로 7-12(지산동)[광주광역시 동구 지산동 342번지],35.15115945,126.9347004,09:00-18:00,00:00-00:00
계림동삼성홈플러스,"광주광역시 동구 무등로 314, 900호 (계림동)[광주광역시 동구 계림동 505번지]",35.16143883,126.9166397,10:00-24:00,10:00-24:00
지원2동행정복지센터,광주광역시 동구 화산로 361(지원동),35.12048189,126.9328418,09:00-18:00,00:00-00:00
전남대병원 1병동,광주광역시 동구 제봉로 42(학동)[광주광역시 동구 학동 8번지],35.1420142,126.9219842,07:00-20:00,07:00-20:00
