"관리번호","무인민원발급기명","설치장소주소","설치장소상세위치","평일시작시분","평일종료시분","휴일시작시분","휴일종료시분","운영시간참고내용","설치운영URL","사용여부명","장애인편의발급기형태","시각장애인용키패드","시각장애인용음성안내","청각장애인용화면안내","점자라벨부착","이어폰소켓","촉각(전자)모니터","화면확대기능","휠체어탄사용자조작","최종수정일자"
"432","길음역","서울특별시 성북구 동소문로 지하248, 길음역 (길음동)","길음역 4~5번 출구 사이","05:00 ","02:00 ","05:00 ","02:00 ","","https://www.sb.go.kr/main/PageLink.do?link=forward:use/PageContent.do&menuNo=91000000&subMenuNo=91010000&thirdMenuNo=91010300&fourthMenuNo=","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","제공","제공","가능","2026-01-26 15:53:54"
"506","역촌동주민센터KIOSK","서울특별시 은평구 연서로 59(역촌동)[서울특별시 은평구 역촌동 62번지 26호]","역촌동주민센터 내","08:00 ","19:00 ","      ","      ","토.일요일 및 공휴일 미운영","http://www.ep.go.kr/CmsWeb/viewPage.req?idx=PG0000000763","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-01-26 13:24:58"
"405","증산동주민센터 KIOSK","서울특별시 은평구 증산서길 89(증산동)[서울특별시 은평구 증산동 187번지 19호]","증산동 주민센터 내","08:00 ","19:00 ","      ","      ","토.일요일 및 공휴일 미운영","http://www.ep.go.kr/CmsWeb/viewPage.req?idx=PG0000000763","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-01-26 13:16:12"
"521","방화3동주민센터","서울특별시 강서구 금낭화로24길 5, 방화3동주민센터,어린이도서관 (방화동)","방화3동주민센터 1층 실내","09:00 ","21:00 ","      ","      ","일요일 및 공휴일 운영x","https://www.gangseo.seoul.kr/gs0101071","사용","장애인 편의 기능 포함(일반)","제공","제공","제공","부착","제공","미제공","제공","불가능","2026-08-28 13:49:04"
"504","개봉1동주민센터","서울특별시 구로구 경인로33길 51(개봉동)","민원실","09:00 ","18:00 ","      ","      ","주말(공휴일) 이용 불가","https://www.guro.go.kr/www/contents.do;jsessionid=2B2734DF1E4BDABE4C4C17EA2A087147.3c9fdff513c606261?key=1625&","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-08-24 09:59:20"
"507","독산1동주민센터","서울특별시 금천구 시흥대로123길 11, 독산1동주민센터 (독산동)","독산1동 주민센터 민원실 내","09:00 ","18:00 ","      ","      ","주민센터 주말, 공휴일 휴무(등기부등본, 가족관계등록서류 평일 09:00~18:00) 이용","http://www.geumcheon.go.kr/html/048/048001005.html","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","제공","제공","가능","2026-08-24 09:57:16"
"524","MG새마을금고금호제1지점","서울특별시 성동구 장터길 49-1(금호동3가)","MG새마을금고 365코너 내","06:30 ","23:30 ","06:30 ","23:30 ","","http://www.sd.go.kr/sd/main.do?op=mainSub&mCode=13A030030000","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-07-28 10:07:52"
"409","암사1동주민센터","서울특별시 강동구 올림픽로98가길 57(암사동)[서울특별시 강동구 암사동 493번지 13호]","동주민센터화장실출구앞로비","08:00 ","19:00 ","      ","      ","주말, 국경일 및 법정공휴일 발급불가","https://www.gangdong.go.kr/site/contents/koRenew/html00/html04/index04.html","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-01-26 13:15:57"
"404","응암2동주민센터","서울특별시 은평구 백련산로 100(응암동)[서울특별시 은평구 응암동 229번지 13호]","응암2동 주민센터 내","08:00 ","19:00 ","      ","      ","토.일요일 및 공휴일 미운영","http://www.ep.go.kr/CmsWeb/viewPage.req?idx=PG0000000763","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-01-26 13:08:20"
"509","왕십리제2동주민센터 KIOSK","서울특별시 성동구 무학봉15길 6, 왕십리제2동 주민센터(공공복합청사) 2층 (하왕십리동)","왕십리제2동주민센터 2층 민원실 입구 우측","00:00 ","2400  ","00:00 ","2400  ","24시간 운영","http://www.sd.go.kr/sd/main.do?mCode=13A030030000&op=mainSub&lay=5","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-01-26 10:27:56"
"504","동서울농협","서울특별시 중랑구 망우로 290(상봉동)","동서울농협내","09:00 ","18:00 ","      ","      ","주말휴무","http://www.jungnang.go.kr/portal/main/contents.do?menuNo=200004","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-08-20 11:01:54"
"515","옥수동주민센터 KIOSK","서울특별시 성동구 독서당로 203, 옥수동 공공복합청사 (옥수동)","옥수동주민센터 출입구 앞","00:00 ","2400  ","00:00 ","2400  ","","http://www.sd.go.kr/sd/main.do?mCode=13A030030000&op=mainSub&lay=5","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","제공","제공","가능","2026-07-27 11:29:44"
"521","거여2동주민센터","서울특별시 송파구 거마로2길 19, 거여2동주민센터 (거여동)","민원실 입구","09:00 ","18:00 ","      ","      ","","https://www.songpa.go.kr/www/contents.do?key=2027&","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-07-01 09:01:37"
"430","장위3동주민센터","서울특별시 성북구 한천로 657, 장위3동 주민센터 (장위동)","입구 왼쪽(관외)","00:00 ","2400  ","      ","      ","","https://www.sb.go.kr/main/PageLink.do?link=forward:use/PageContent.do&menuNo=01000000&subMenuNo=01040000&thirdMenuNo=01040100&fourthMenuNo=","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-01-27 11:09:51"
"421","보문동주민센터","서울특별시 성북구 안암로3길 35(보문동7가)[서울특별시 성북구 보문동7가 108번지 1호]","관내","08:30 ","18:00 ","      ","      ","","https://www.sb.go.kr/PageLink.do?link=forward:use/PageContent.do&tempParam1=&menuNo=01000000&subMenuNo=01040000&thirdMenuNo=01040100&fourthMenuNo=","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-01-27 09:35:11"
"418","장위1동주민센터","서울특별시 성북구 장위로 61(장위동)[서울특별시 성북구 장위동 225번지 100호]","관내","08:30 ","18:30 ","      ","      ","","https://www.sb.go.kr/PageLink.do?link=forward:use/PageContent.do&tempParam1=&menuNo=01000000&subMenuNo=01040000&thirdMenuNo=01040100&fourthMenuNo=","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-01-27 09:34:15"
"502","신촌역 KIOSK","서울특별시 마포구 신촌로 지하 90(노고산동)","3번출구","06:00 ","2400  ","06:00 ","2400  ","","http://www.sdm.go.kr/civil/print/automaic.do","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-08-26 16:05:15"
"501","서대문구청1 KIOSK","서울특별시 서대문구 연희로 248(연희동)[서울특별시 서대문구 연희동 168번지 6호]","구청 1층 로비","00:00 ","2400  ","00:00 ","2400  ","","http://www.sdm.go.kr/civil/print/automaic.do","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-08-26 16:04:59"
"431","전농2동주민센터","서울특별시 동대문구 사가정로 137, 전농2동주민센터 (전농동)","청사내","09:00 ","18:00 ","      ","      ","주말휴무","http://www.ddm.go.kr/civil/multiCivilNoPeople.jsp","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","제공","제공","가능","2026-08-25 21:06:52"
"525","세곡동주민센터분소1","서울특별시 강남구 자곡로 100, 세곡동 주민센터 분소 (자곡동)","출입구B","08:30 ","18:30 ","      ","      ","","https://www.gangnam.go.kr/contents/dispenser/2/view.do?mid=ID03_010103","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","제공","제공","가능","2026-08-03 10:21:57"
"210","창3동 주민센터","서울특별시 도봉구 덕릉로62길 89(창동)[서울특별시 도봉구 창동 462번지 2호]","민원실 내부","09:00 ","18:00 ","      ","      ","주말(공휴일) 미운영","http://www.dobong.go.kr/Contents.asp?code=10003644","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","제공","제공","가능","2026-01-27 14:51:30"
